Taxa	Flow_col
PI281911A	NA
PI281911B	NA
PI281911C	NA
PI281912	2
PI281913A	NA
PI281913B	NA
PI283326	2
PI283327	2
PI283328	2
PI283330	1
PI283331	2
PI283332	1
PI283334	1
PI284814	2
PI284815	2
PI284816A	NA
PI284816B	NA
PI284873	2
PI285089	2
PI285090	2
PI285091	2
PI285092	1
PI285093	2
PI285094	2
PI285095	2
PI285096	2
PI285097	2
PI290114	2
PI290115	2
PI290116A	2
PI290116B	2
PI290118	2
PI290119	2
PI290120	2
PI290121	2
PI290122	2
PI290123A	2
PI290123B	2
PI290124	2
PI290125	2
PI290126A	2
PI290126B	1
PI290127	2
PI290128	2
PI290129A	2
PI290129B	2
PI290130	1
PI290131	2
PI290132	2
PI290133	2
PI290134	1
PI290135	2
PI290136	1
PI290137	1
PI290138	1
PI290139	2
PI290140	2
PI290141	2
PI290142	1
PI290143	2
PI290144	2
PI290145	2
PI290148	1
PI290149	2
PI290150	2
PI290151	1
PI290152	2
PI290153	2
PI290154	2
PI290155	2
PI290156	1
PI290157	2
PI290158	2
PI291272	2
PI291273	2
PI291274A	2
PI291274B	2
PI291275	2
PI291276	2
PI291277	2
PI291278	2
PI291279	2
PI291281	2
PI291282	2
PI291283	2
PI291284	2
PI291286	2
PI291288	2
PI291290	2
PI291291	2
PI291293A	2
PI291293B	2
PI291294	2
PI291295	2
PI291296	2
PI291297	2
PI291298	2
PI291299	2
PI291300	2
PI291301	1
PI291302A	2
PI291302B	1
PI291302C	2
PI291303A	2
PI291303B	2
PI291304	2
PI291305	1
PI291306A	2
PI291306B	2
PI291309A	2
PI291309B	1
PI291309C	2
PI291309D	2
PI291310A	2
PI291310B	2
PI291310C	1
PI291311A	2
PI291311B	2
PI291312	2
PI291313	2
PI291315	2
PI291318	2
PI291319A	2
PI291319B	1
PI291320A	2
PI291320B	2
PI291321	2
PI291322	1
PI291323	2
PI291324	1
PI291325	2
PI291326	2
PI291327	1
PI291328	1
PI291329	2
PI291331	2
PI295947	2
PI295948	2
PI295949	2
PI295950	1
PI295951	2
PI295952	2
PI297498A	2
PI297498B	2
PI297499	2
PI297500	2
PI297501	2
PI297502	2
PI297503	2
PI297504	1
PI297505	1
PI297506	2
PI297507A	2
PI297507B	2
PI297508	2
PI297509	2
PI297510	1
PI297511	1
PI297512	2
PI297513	1
PI297514	2
PI297515	1
PI297516	1
PI297518	2
PI297519	1
PI297520	2
PI297521	2
PI297522	2
PI297523	1
PI297524	2
PI297525	2
PI297528	1
PI297529	2
PI297531	2
PI297532	2
PI297533	1
PI297534	2
PI297535	2
PI297536	1
PI297537	1
PI297538	1
PI297540	2
PI297541	2
PI297542	1
PI297543	2
PI297544	1
PI297545	1
PI297546	2
PI297547	2
PI297548	2
PI297549	2
PI297550	2
PI297551	2
PI297552	2
PI303650	2
PI303651	1
PI303652	2
PI303653	2
PI304217	2
PI304218	1
PI305074	2
PI30594	1
PI30599	2
PI30600	2
PI306702A	NA
PI306702B	NA
PI306702C	NA
PI306704A	NA
PI306704B	NA
PI306712	NA
PI307597	2
PI307836	2
PI307837	2
PI307838A	NA
PI307838B	NA
PI307838C	NA
PI307838D	NA
PI307838E	NA
PI307839	2
PI307840	2
PI307842A	NA
PI307842B	NA
PI307843A	NA
PI307843B	NA
PI307844	2
PI307845	2
PI307846	2
PI307847	2
PI307849	2
PI307850A	NA
PI307850B	NA
PI307851A	NA
PI307851B	NA
PI307852A	NA
PI307852B	NA
PI307853	2
PI307854	2
PI307855	2
PI307856	2
PI307857	2
PI307858	2
PI307860	2
PI307861	2
PI307862	2
PI307863	2
PI307864	2
PI307865	2
PI307866	2
PI307868	2
PI307869	2
PI307870A	NA
PI307870B	NA
PI307872A	NA
PI307872B	NA
PI307872C	NA
PI307873A	NA
PI307873B	NA
PI307873C	NA
PI307873D	NA
PI307873E	NA
PI307874	2
PI307875	2
PI307876A	NA
PI307876B	NA
PI307877	2
PI307878A	NA
PI307878B	NA
PI307879	2
PI307880A	NA
PI307880B	NA
PI307880C	NA
PI307880D	NA
PI307880E	NA
PI307881	2
PI307882A	NA
PI307882B	NA
PI307882C	NA
PI307882D	NA
PI307882E	NA
PI307882F	NA
PI307883	2
PI307884A	NA
PI307884B	NA
PI307885	2
PI307886	2
PI307887	2
PI307888A	NA
PI307888B	NA
PI307889A	NA
PI307889B	NA
PI307889C	NA
PI307889D	NA
PI307889E	NA
PI307889F	NA
PI307890	2
PI307891A	NA
PI307891B	NA
PI307892	NA
PI307893	2
PI307894	2
PI307895	2
PI307896	2
PI307897	NA
PI307898	NA
PI307899A	NA
PI307899B	NA
PI307900	2
PI309655A	NA
PI309655B	NA
PI309655C	NA
PI309655D	NA
PI309655E	NA
PI309658	2
PI310439	1
PI310441	2
PI312222	1
PI315701	NA
PI317332	2
PI317333	2
PI317334A	2
PI317334B	2
PI317335	2
PI317336	2
PI317337	2
PI319525	2
PI319526	1
PI319527	2
PI319528	2
PI319529	1
PI319530	1
PI319531	1
PI319532	1
PI319533	2
PI319534A	2
PI319534B	1
PI319534C	2
PI319535A	1
PI319535B	2
PI319536A	2
PI319536B	2
PI319536C	2
PI319536D	2
PI319537A	2
PI319537B	2
PI319538	1
PI322689	2
PI322690	2
PI322691	2
PI322692	2
PI322693	1
PI322694	1
PI322695	1
PI323275	2
PI323276	2
PI323278	2
PI323550	2
PI323551	2
PI323552	2
PI323553	2
PI323554	2
PI323555	1
PI323556	1
PI323557	1
PI323558	2
PI323559	2
PI323560	2
PI323561	2
PI323562	2
PI323563	2
PI323564	2
PI323565	2
PI323566	2
PI323567	2
PI323568	2
PI323569	2
PI323570	2
PI323572	2
PI323573	2
PI323574	2
PI323575	2
PI323576	2
PI323577	2
PI323578	2
PI323579	2
PI323580	2
PI323586A	2
PI323586B	2
PI323586C	2
PI324066	2
PI324067	2
PI324068	2
PI324187A	NA
PI324187B	NA
PI324188	2
PI324189	2
PI324190	2
PI324622B	NA
PI324924	2
PI325779	2
PI326578	2
PI326579	2
PI326580	2
PI326581	2
PI326582A	2
PI326582B	2
PI330633	1
PI330634	2
PI330635	2
PI331793	2
PI331794	1
PI331795	2
PI339731	2
PI339732	2
PI339733	2
PI339734	2
PI339735A	2
PI339735B	2
PI339736	2
PI339863A	1
PI339863B	2
PI339864A	2
PI339864B	1
PI339865A	2
PI339865B	2
PI339866	2
PI339867	1
PI339868A	1
PI339868B	1
PI339868C	1
PI339868D	1
PI339868E	1
PI339868F	1
PI339869	2
PI339870	2
PI339871A	2
PI339871B	2
PI339871C	2
PI339977	1
PI339978	2
PI339979	2
PI339980	2
PI339981	2
PI339982	2
PI339983	2
PI339984	2
PI339985	2
PI339986	2
PI339987	2
PI339988	2
PI339989	2
PI339990	2
PI339991	1
PI339992	2
PI339993	1
PI339994	2
PI339995	2
PI339996	2
PI339997	2
PI339998	1
PI339999	1
PI340000	2
PI340001	2
PI340002	2
PI340003	2
PI340004	1
PI340005	1
PI340006	1
PI340007	1
PI340008	1
PI340009	1
PI340010	2
PI340011	2
PI340012	2
PI340013	2
PI340014	2
PI340015	2
PI340016	2
PI340017	2
PI340018	NA
PI340019	1
PI340020	1
PI340021A	1
PI340021B	1
PI340022	2
PI340023	2
PI340024	1
PI340025	2
PI340026	2
PI340027	2
PI340028	1
PI340029	2
PI340030	1
PI340031A	1
PI340031B	2
PI340032	1
PI340033	1
PI340034	2
PI340035	2
PI340036	2
PI340037	2
PI340038	2
PI340039	2
PI340040	2
PI340041	1
PI340042	2
PI340043	1
PI340044	1
PI340045	2
PI340046	1
PI340047	1
PI340048	2
PI340049	NA
PI340050	2
PI340051	1
PI340052	1
PI340053A	1
PI340053B	2
PI340054	2
PI340898A	NA
PI340898B	NA
PI340899	1
PI340900A	NA
PI340900B	NA
PI340901	2
PI340902	1
PI340903	2
PI340904A	NA
PI340904B	NA
PI341241A	NA
PI341241B	NA
PI341242	2
PI341243	2
PI341244A	NA
PI341244B	NA
PI341245	2
PI341246	2
PI341247	2
PI341248	2
PI341249	2
PI341250	2
PI341251	1
PI341252	2
PI341253	2
PI341254	2
PI341255	2
PI341256A	NA
PI341256B	NA
PI341256C	NA
PI341257	2
PI341258	2
PI341259	2
PI341260A	NA
PI341260B	NA
PI341261	2
PI341262	2
PI341263	2
PI341264	1
PI342002	2
PI342003	2
PI342004	2
PI342005	2
PI342434	2
PI342435A	2
